title,url,article_date
"The United States, Joined by Allies and Partners, Attributes Malicious Cyber Activity and Irresponsible State Behavior to the People’s Republic of China",https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/19/the-united-states-joined-by-allies-and-partners-attributes-malicious-cyber-activity-and-irresponsible-state-behavior-to-the-peoples-republic-of-china/,"July 19, 2021"
Background Press Call by Senior Administration Officials on Malicious Cyber Activity Attributable to the People’s Republic of China,https://www.whitehouse.gov/briefing-room/press-briefings/2021/07/19/background-press-call-by-senior-administration-officials-on-malicious-cyber-activity-attributable-to-the-peoples-republic-of-china/,"July 19, 2021"
"Statement by President Joseph R. Biden, Jr. on Nelson Mandela International Day",https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/18/statement-by-president-joseph-r-biden-jr-on-nelson-mandela-international-day/,"July 18, 2021"
Statement by NSC Spokesperson Emily Horne on Senior Administration Delegation Trip to Uzbekistan,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/17/statement-by-nsc-spokesperson-emily-horne-on-senior-administration-delegation-trip-to-uzbekistan/,"July 17, 2021"
"Statement by President Joseph R. Biden, Jr. On the One Year Anniversary of the Passing of Congressman John Lewis",https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/17/statement-by-president-joseph-r-biden-jr-on-the-one-year-anniversary-of-the-passing-of-congressman-john-lewis/,"July 17, 2021"
Statement by President Joe Biden on DACA and Legislation for Dreamers,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/17/statement-by-president-joe-biden-on-daca-and-legislation-for-dreamers/,"July 17, 2021"
Statement by White House Spokesperson Jen Psaki on the Visit of Prime Minister Mustafa al-Kadhimi of Iraq,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/16/statement-by-white-house-spokesperson-jen-psaki-on-the-visit-of-prime-minister-mustafa-al-kadhimi-of-iraq/,"July 16, 2021"
"Press Briefing by Press Secretary Jen Psaki, July 16, 2021",https://www.whitehouse.gov/briefing-room/press-briefings/2021/07/16/press-briefing-by-press-secretary-jen-psaki-july-16-2021/,"July 16, 2021"
Readout of White House Summit on the Homebuilding Supply Chain,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/16/readout-of-white-house-summit-on-the-homebuilding-supply-chain/,"July 16, 2021"
President Biden Announces Seven Key Nominations,https://www.whitehouse.gov/briefing-room/statements-releases/2021/07/16/president-biden-announces-seven-key-nominations-4/,"July 16, 2021"
